Experiment_ID,Task,Model,Strategy,Class,Precision,Recall,F1,Support
multi_rf_s2b_s42,multi,RF,S2B,Exploits,0.7653327533710309,0.6322314049586777,0.692443919716647,11132
multi_rf_s2b_s42,multi,RF,S2B,Fuzzers,0.27823895641861845,0.6192675684592543,0.3839623606423238,6062
multi_rf_s2b_s42,multi,RF,S2B,Generic,0.9991228070175439,0.9657145885220709,0.9821346770499313,18871
multi_rf_s2b_s42,multi,RF,S2B,Normal,0.9801552063626887,0.6861351351351351,0.8072049728939127,37000
multi_rf_s2b_s42,multi,RF,S2B,Reconnaissance,0.8609388839681134,0.834096109839817,0.8473049542350719,3496
multi_rf_s2b_s42,multi,RF,S2B,Shellcode,0.2058287795992714,0.8968253968253969,0.3348148148148148,378
multi_rf_s2b_s42,multi,RF,S2B,Worms,0.3469387755102041,0.38636363636363635,0.3655913978494624,44
multi_xgb_s0_s42,multi,XGB,S0,Analysis,0.03953147877013177,0.07976366322008863,0.05286343612334802,677
multi_xgb_s0_s42,multi,XGB,S0,Backdoor,0.03365810451727192,0.06518010291595197,0.04439252336448598,583
multi_xgb_s0_s42,multi,XGB,S0,DoS,0.6067588325652842,0.09660063585228662,0.16666666666666666,4089
multi_xgb_s0_s42,multi,XGB,S0,Exploits,0.5884493765288468,0.8860043118936399,0.7072025239307353,11132
multi_xgb_s0_s42,multi,XGB,S0,Fuzzers,0.30669470732562215,0.5773672055427251,0.40059516996680783,6062
multi_xgb_s0_s42,multi,XGB,S0,Generic,0.9979862849678894,0.9717026124741667,0.9846690830984025,18871
multi_xgb_s0_s42,multi,XGB,S0,Normal,0.968941504178273,0.7521081081081081,0.846865489957395,37000
multi_xgb_s0_s42,multi,XGB,S0,Reconnaissance,0.9288291243030502,0.8100686498855835,0.8653934300993125,3496
multi_xgb_s0_s42,multi,XGB,S0,Shellcode,0.34323040380047504,0.7645502645502645,0.4737704918032787,378
multi_xgb_s0_s42,multi,XGB,S0,Worms,0.7857142857142857,0.5,0.6111111111111112,44
multi_xgb_s1_s42,multi,XGB,S1,Analysis,0.039385474860335196,0.20827178729689808,0.06624383368569416,677
multi_xgb_s1_s42,multi,XGB,S1,Backdoor,0.05831130461825532,0.6432246998284734,0.10692899914456801,583
multi_xgb_s1_s42,multi,XGB,S1,DoS,0.443457667258733,0.18317437026167768,0.25925925925925924,4089
multi_xgb_s1_s42,multi,XGB,S1,Exploits,0.800443717888837,0.6157923104563421,0.6960804224207962,11132
multi_xgb_s1_s42,multi,XGB,S1,Fuzzers,0.2571266038809178,0.6710656548993732,0.3717954576611982,6062
multi_xgb_s1_s42,multi,XGB,S1,Generic,0.9989063268988899,0.9679932171056118,0.9832068464395285,18871
multi_xgb_s1_s42,multi,XGB,S1,Normal,0.9915830789358918,0.6145135135135135,0.7587852494577007,37000
multi_xgb_s1_s42,multi,XGB,S1,Reconnaissance,0.8739297313256569,0.8466819221967964,0.8600900770013076,3496
multi_xgb_s1_s42,multi,XGB,S1,Shellcode,0.22831632653061223,0.9470899470899471,0.36793422404933196,378
multi_xgb_s1_s42,multi,XGB,S1,Worms,0.5066666666666667,0.8636363636363636,0.6386554621848739,44
multi_xgb_s2a_s42,multi,XGB,S2A,Analysis,0.047382920110192836,0.25406203840472674,0.07986997910378453,677
multi_xgb_s2a_s42,multi,XGB,S2A,Backdoor,0.05171809256661992,0.5060034305317325,0.0938444409098139,583
multi_xgb_s2a_s42,multi,XGB,S2A,DoS,0.425531914893617,0.19564685742235266,0.2680515999329871,4089
multi_xgb_s2a_s42,multi,XGB,S2A,Exploits,0.7882326521446216,0.6306144448436939,0.7006687294141132,11132
multi_xgb_s2a_s42,multi,XGB,S2A,Fuzzers,0.26095711121551785,0.6413724843286044,0.37097466723915845,6062
multi_xgb_s2a_s42,multi,XGB,S2A,Generic,0.9983102583669464,0.9705368025011923,0.9842276379074079,18871
multi_xgb_s2a_s42,multi,XGB,S2A,Normal,0.9839751552795031,0.6422432432432432,0.7772035977105478,37000
multi_xgb_s2a_s42,multi,XGB,S2A,Reconnaissance,0.8867009996970615,0.8372425629290617,0.8612623216124761,3496
multi_xgb_s2a_s42,multi,XGB,S2A,Shellcode,0.2407152682255846,0.9259259259259259,0.38209606986899564,378
multi_xgb_s2a_s42,multi,XGB,S2A,Worms,0.532258064516129,0.75,0.6226415094339622,44
multi_xgb_s2b_s42,multi,XGB,S2B,Analysis,0.019864750633981403,0.06942392909896603,0.030890568517909958,677
multi_xgb_s2b_s42,multi,XGB,S2B,Backdoor,0.056405640564056406,0.32246998284734135,0.09601634320735444,583
multi_xgb_s2b_s42,multi,XGB,S2B,DoS,0.33696814197134917,0.38542430912203474,0.3595710700433493,4089
multi_xgb_s2b_s42,multi,XGB,S2B,Exploits,0.7497146414859396,0.6490298239310097,0.6957484712793105,11132
multi_xgb_s2b_s42,multi,XGB,S2B,Fuzzers,0.27687188019966724,0.5489937314417684,0.36810087379714634,6062
multi_xgb_s2b_s42,multi,XGB,S2B,Generic,0.9978760483607451,0.9709607334004557,0.984234415706497,18871
multi_xgb_s2b_s42,multi,XGB,S2B,Normal,0.9726337677769114,0.707945945945946,0.819445965181211,37000
multi_xgb_s2b_s42,multi,XGB,S2B,Reconnaissance,0.8999689344516931,0.8286613272311213,0.8628443782576322,3496
multi_xgb_s2b_s42,multi,XGB,S2B,Shellcode,0.20198482194979567,0.9153439153439153,0.33094213295074126,378
multi_xgb_s2b_s42,multi,XGB,S2B,Worms,0.44594594594594594,0.75,0.559322033898305,44
